Package,Name,ExtraParameters,Learning time
06-sklearn.tree,DecisionTree,1-Default,20
06-sklearn.tree,DecisionTreeClassifier,1-Default,27
06-sklearn.tree,DecisionTreeClassifier,2-After tuning,11
07-sklearn.ensemble.a-bagging,BaggingClassifier,1-Default,145
07-sklearn.ensemble.a-bagging,ExtraTreesClassifier,1-Default,227
07-sklearn.ensemble.a-bagging,ExtraTreesClassifier,2-After tuning,243
07-sklearn.ensemble.a-bagging,RandomForest,1-Default,262
07-sklearn.ensemble.b-boosting,AdaBoostClassifier,1-Default,80
07-sklearn.ensemble.b-boosting,AdaBoostClassifier,2-After tuning,566
07-sklearn.ensemble.b-boosting,GradientBoostingClassifier,1-Default,424
08-xgboost,XGBClassifier,1-Default,11
09-catboost,CatBoostClassifier,1-Default,150
10-imblearn.ensemble,BalancedRandomForest,1-Default,44
10-imblearn.ensemble,EasyEnsembleClassifier,1-Default,59
